id,name,identity,intelligence,strength,speed,durability,power,combat,creator,universe,full_name,place_of_birth,first_appearance,alignment,height,weight,eye_color,hair_color
Maniac Cop,Maniac Cop,Matt Cordell,Moderate,10,1,10,5,15,,,,,,,,,,
Manifold,Manifold,Eden Fesi,Average,1,5,5,20,70,Marvel Comics,Earth-616 - Prime Marvel Universe,Eden Fesi,Australia,,Good,177.8,79.38,Brown,Black
Manishtusu,Manishtusu,Manishtusu,High,100,100,100,100,100,,WOD - World of Darkness,,,,,,,,
Manitou Raven,Manitou Raven,,Good,1,35,35,80,50,DC Comics,New Earth - Post-Crisis,,,,Neutral,,,Red,Black
Manji,Manji,,Average,10,25,20,40,95,Kodansha,BOTI - Blade Of The Immortal,,,,Neutral,,,Brown,Black
Mankar Camoran,Mankar Camoran,,Good,100,50,55,90,70,,TES - The Elder Scrolls Verse,,,,,,,,
Manny Armstrong,Manny Armstrong,Manny Armstrong,Good,90,25,35,40,100,Cartoon Network,Ben 10 - Ben 10,,,,Good,,,Orange,No Hair
Mant,Mant,,Low,1,1,1,10,30,,Grounded - Grounded (2022 Game),,,,,,,,
Manta,Manta,,Low,1,1,1,1,1,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,,,,,
Manten,Manten,,Average,75,25,30,55,80,Shogakukan,Inuyasha - Inuyasha,,,,Bad,,,Black,Black
Mantis,Mantis,Mantis,Average,6,8,10,50,45,Marvel Comics,MCU - Marvel Cinematic Universe,,,,Good,154.9,59.9,Brown,Black
Mantis-1,Mantis,Brandt,Average,1,6,35,80,90,Marvel Comics,Earth-616 - Prime Marvel Universe,Brandt,Vietnam,,Good,167.6,52.2,Green,Black
Mantis-2,Mantis,Brandt,Moderate,1,1,10,40,9,Marvel Comics,Earth-21923 - Marvel's The Wastelands,,,,Good,,,,
Mantis-3,Mantis,,Average,1,8,25,70,80,Marvel Comics,MAU - Marvel Animated Universe,,,,Bad,,,,
Mantis-4,Mantis,,Low,1,1,1,15,30,,Grounded - Grounded (2022 Game),,,,,,,,
Manwë (True Form),Manwë (True Form),Manwë,High,100,100,100,100,100,J. R. R. Tolkien,,Manw� Sulimo,Before creation of universe,,Good,,,White,White
Manwë Súlimo,Manwë Súlimo,Manwë Súlimo,High,100,100,100,100,100,J. R. R. Tolkien,,,,,,,,,
Maokai,Maokai,Maokai,Good,30,6,35,65,45,Riot Games,LoL - League of Legends,,The Shadow Isles,,Neutral,,,,
Mara,Mara,Mara,High,100,100,100,100,100,,TES - The Elder Scrolls Verse,,,,,,,,
Mara-1,Mara,,Moderate,1,25,10,25,30,,Hero Wars Verse - Hero Wars Verse,,,,,,,Yellow,Purple
María,María,,Average,1,7,5,10,70,Ubisoft,AC - Assassin's Creed Game & Movie Universe,,,,Good,,,,
María Gómez,María Gómez,María Gómez,Average,13,19,15,25,75,Capcom,Resident Evil - Resident Evil Game & Movie universe,,,,Bad,,,Brown,Blond
Marble Alien,Marble Alien,,High,100,100,100,100,100,Marvel Comics,MiB - Men in Black,,,,,,,,
Marcel,Marcel,Marcel Gerard,Good,25,50,25,65,70,The CW,VD - Vampire Diaries,,New Orleans,,Good,182.9,86.2,Brown,Black
Marcel Galliard,Marcel Galliard,,Average,1,6,5,25,40,Kodansha,AOT - Attack on Titan,,,,Good,,,Brown,Brown
Marcel Gerard (Upgraded original),Marcel Gerard (Upgraded original),,Good,25,35,35,75,80,The CW,VD - Vampire Diaries,,New Orleans,,Neutral,180.3,86.0,Brown,Black
Marceline the Vampire Queen,Marceline the Vampire Queen,Marceline Abadeer,Average,75,80,60,100,50,Cartoon Network,AT - Adventure Time Universe,,,,Good,,,,
Marcie Ross,Marcie Ross,,Average,1,1,5,10,5,Dark Horse Comics,Buffy - Buffy the Vampire Slayer,,,,Bad,,,Brown,Brown
Marckus,Marckus,,Average,1,6,10,80,100,,WOD - World of Darkness,,,,,,,,
Marco Diaz,Marco Diaz,,Good,1,6,30,50,100,Disney,Star Vs. The Forces Of Evil - Star vs. the Forces of Evil,,,,Good,,,Brown,Brown
Marco Rossi,Marco Rossi,Macharius Rossi,High,25,50,55,45,100,SNK,MS - Metal Slug,Macharius Dennis Rossi,"Twin Falls, Idaho, United States",1996,Good,180.3,74.98,Blue,Yellow
Marcus,Marcus,,High,35,35,30,50,60,,Twilight - The Twilight Saga,,,,Neutral,182.9,,Red,
Marcus-1,Marcus,,Good,1,1,8,5,75,,JWU - John Wick Universe,,,2014,Neutral,175.3,78.02,Blue,Brown
Marcus-2,Marcus,Marcus Corvinus,Average,25,25,20,40,60,IDW Publishing,Underworld - Underworld,,,,Bad,,,Blue,Black
Marcus Davenport,Marcus Davenport,Marcus Davenport,High,30,50,15,75,80,Disney,,,,,Bad,180.3,74.0,Brown,Brown
Marcus Dixon,Marcus Dixon,Marcus Dixon,Average,1,6,10,0,70,ABC Studios,Alias - Alias,Marcus Dixon,"Minneapolis, MN, USA",,Good,185.4,88.45,Brown,Black
Marcus Hamilton,Marcus Hamilton,,Good,65,6,90,70,95,Dark Horse Comics,Buffy - Buffy the Vampire Slayer,,,,Bad,,,,Brown
Marcus Holloway,Marcus Holloway,,High,6,19,15,20,65,Ubisoft,Watch Dogs - Watch Dogs,,"Los Angeles, California",,Good,,,,
Marcus Kane,Marcus Kane,,Average,1,1,8,1,65,The CW,100 - The 100,,"The Ark, Earth Orbit",,,182.0,,Hazel,Black
Marcus Licinius Crassus,Marcus Licinius Crassus,,Average,1,6,10,5,65,,Spartacus - Spartacus Series,,,,Bad,,,Blue,Black
Marcus Pierce,Marcus Pierce,Cain,Good,25,7,25,35,90,DC Comics,Arrowverse - DC Television Universe,,,,Bad,190.5,,Brown,Brown
Mard Geer,Mard Geer,Mard Geer Tartaros,Good,100,80,40,60,75,Kodansha,Fairy Tail - Fairy Tail,,,,Bad,,,,
Aphrodite,Aphrodite,Aphrodite,High,100,85,95,100,60,DC Comics,Rebirth - DC Rebirth,,,,Neutral,,,Blue,Red
Apocalymon,Apocalymon,,Average,100,100,100,100,100,Shueisha,Digimon - Digimon,,,,Bad,,,Red,
Apocalypse,Apocalypse,En Sabah Nur,High,100,100,100,100,50,Marvel Comics,Earth-616 - Prime Marvel Universe,En Sabah Nur,"Akkaba, Egypt",1986,Bad,213.4,136.1,Red,Black
Apocalypse-1,Apocalypse,En Sabah Nur,High,100,25,40,75,40,Marvel Comics,EMCU - Extended Marvel Cinematic Universe (2000-2019 Movies),,Egypt,,,,,Brown,No Hair
Apocalypse-2,Apocalypse,En Sabah Nur,High,100,50,80,90,70,Marvel Comics,Earth-TRN891 - Dark Ages,,"Akkaba, Egypt",2021,Bad,213.4,136.08,Red,No Hair
Apocalypse-3,Apocalypse,En Sabah Nur,High,100,30,65,100,60,Marvel Comics,Earth-2182 - Earth-Nocturne,,Egypt,2000,Bad,,,Red,No Hair
Apocalypse-4,Apocalypse,En Sabah Nur,High,100,30,65,100,70,Marvel Comics,Earth-TRN756 - Life Nine of Moira X,,Egypt,2019,Neutral,,,Red,No Hair
Apocalypse-5,Apocalypse,En Sabah Nur,High,100,30,60,100,60,Marvel Comics,Earth-10082 - Alternate Age of Apocalypse,,,2010,Bad,,,Red,No Hair
Apocalypse-6,Apocalypse,En Sabah Nur,High,25,7,60,85,70,Marvel Comics,Earth-11052 - X-Men: Evolution (2000-2003 TV Series),,Egypt,,Bad,,,Brown,Blue
Apocalypse-7,Apocalypse,,Good,95,50,75,95,55,Marvel Comics,Earth-1610 - Ultimate Marvel Universe,,Egypt,2004,Bad,,,Red,No Hair
Apocalypse (Death Seed),Apocalypse (Death Seed),En Sabah Nur,High,100,100,100,100,50,Marvel Comics,Earth-616 - Prime Marvel Universe,En Sabah Nur,"Akkaba, Egypt",,Bad,213.4,136.1,Red,Black
Apocalypse (Enhanced Form),Apocalypse (Enhanced Form),En Sabah Nur,High,50,25,50,85,80,Marvel Comics,Earth-11052 - X-Men: Evolution (2000-2003 TV Series),,,,,,,,
Apocryphos,Apocryphos,,Good,100,50,40,70,95,Shueisha,D.Gray-man - D.Gray-man,,,,Bad,,,,
Apollo,Apollo,Andrew Pulaski,Good,55,100,60,85,70,DC Comics,New Earth - Post-Crisis,,,,,,,,
Apollo-1,Apollo,Pheobus Apollo,High,75,100,75,100,80,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,Good,182.9,238.14,Blue,Blond
Apollo-2,Apollo,,High,100,100,75,75,70,Hi-Rez Studios,Smite - Smite,,,2013,Neutral,,,Gold,Blond
Apollo-3,Apollo,,Good,30,85,55,75,90,Tokuma Shoten,Record Of Ragnarok - Record Of Ragnarok,,,,Neutral,,,,
Apollo-4,Apollo,Apollo,High,100,75,65,100,70,Rick Riordan,PJO - Percy Jackson & the Olympians,Apollo,,,Good,,,Brown,Blond
Apollo Creed,Apollo Creed,Apollo Creed,Average,5,8,10,10,80,MGM,Rocky - Rocky,,America,1976,Good,188.0,100.2,Brown,Black
Apollonir,Apollonir,,High,100,75,80,100,80,Sega,Bakugan - Bakugan,,,,Good,,,Blue,No Hair
Apophis,Apophis,Apophis,Good,20,8,20,40,30,MGM,SG - Stargate,,,,Bad,,,,
Apophis-1,Apophis,,High,100,50,75,100,50,Rick Riordan,,,,,Bad,,,Red,
Apophis-2,Apophis,,High,100,100,100,100,50,,Egyptian Mythology - EgyptianMyth,,,,Bad,,,,
Aporia,Aporia,,Good,30,25,20,80,70,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,,,,,
Apostate,Apostate,Bezaliel,Good,75,35,55,85,80,,SotM - Sentinels of the Multiverse,,,2013,Bad,185.4,81.65,Green,Black
Appa,Appa,,Moderate,25,20,10,35,25,Dark Horse Comics,Avatar - Avatar: The Last Airbender(2005-2008) and The Legend of Korra(2012-2014),,,,Good,,,Brown,White
April,April,,Good,25,1,15,30,75,Dark Horse Comics,Buffy - Buffy the Vampire Slayer,,,,,,,Brown,Brown
April O'Neil,April O'Neil,Apriel O'Neil,Average,1,5,10,5,75,Nickelodeon,Rise Of The TMNT - Rise of the Teenage Mutant Ninja Turtles,,,,Good,,,,
April O'Neil-1,April O'Neil,,Good,1,6,5,5,35,IDW Publishing,TMNT - Teenage Mutant Ninja Turtles,April O?Neil,,,Good,170.2,52.2,Blue,Red / Orange
April O'Neil-2,April O'Neil,April O'Neil,Good,1,1,1,5,30,,TMNT 2012 - Teenage Mutant Ninja Turtles (2012-2017 TV series),,,,Good,,,,
Aqua,Aqua,,Average,6,30,45,65,80,Square Enix,Kingdom Hearts - Kingdom Hearts Universe,,,,Good,,,Blue,Blue
Aqua-1,Aqua,,Good,1,6,20,40,70,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Good,,,Pink,
Aqua-2,Aqua,Aqua,Moderate,5,10,35,60,10,Kadokawa,KonoSuba - Kono Subarashii Sekai ni Shukufuku wo!,,,,Neutral,,,Blue,Blue
Aqua-Mite,Aqua-Mite,,High,100,100,100,100,50,DC Comics,Rebirth - DC Rebirth,,,,Good,,,,
Aquababy,Aquababy,"Arthur Curry, Jr.",Low,0,0,0,0,0,DC Comics,New Earth - Post-Crisis,"Arthur Curry, Jr.",,1965,Good,,,Blue,Blond
Aquagirl,Aquagirl,Tula,Good,25,20,20,55,45,DC Comics,New Earth - Post-Crisis,,Atlantis,1967,Good,,118.8,Blue,Brown
Aqualad,Aqualad,Garth,Low,0,0,0,0,0,DC Comics,New Earth - Post-Crisis,Garth,"Poseidonis, Atlantis",1960,Good,177.8,106.6,Blue,Black
Aqualad-1,Aqualad,Garth,Good,35,30,30,30,70,DC Comics,Teen Titans - Teen Titans (2003-2006 TV Series),,,,Good,,,Black,Black
Aqualad-2,Aqualad,Garth,Average,5,30,15,55,10,DC Comics,Earth 96 - DC Superhero Girls (2019- Tv Show),,,,,,,,
Aqualad-3,Aqualad,Jackson Hyde,Average,30,25,30,65,50,DC Comics,New Earth - Post-Crisis,Jackson Hyde,,2010,Good,175.3,77.11,Blue,Blond
Aqualad-4,Aqualad,Kaldur'ahm,Good,25,10,20,60,55,DC Comics,Young Justice - Young Justice (2010- TV Series),Kaldur?ahm,,,Good,,,Green,Blond
Aquaman,Aquaman,Arthur Curry,Average,100,7,30,50,80,DC Comics,DCAU - DC Animated Universe,,,,Good,,,Black,Blond
Aquaman-1,Aquaman,Orin,Average,25,30,30,40,50,DC Comics,Smallville - Smallville (2001-2011 TV Series),,,,Good,,,,
Aquaman-2,Aquaman,Arthur Curry,High,100,60,90,90,85,DC Comics,New Earth - Post-Crisis,Arthur Curry,,,Good,185.4,147.4,Blue,Blond
Aquaman-3,Aquaman,Arthur Curry,Average,100,100,75,70,90,DC Comics,Prime Earth - New 52,Arthur Curry,,1941,Good,185.4,147.4,Blue,Blond
Aquaman-4,Aquaman,Ramon Raymond,Good,25,25,25,55,40,DC Comics,Earth-6 - Just Imagine,,,,Good,182.9,92.08,Blue,Brown
Aquaman-5,Aquaman,Arthur Curry,Average,85,100,50,55,85,DC Comics,Injustice - Injustice (2013-2017 Games and Comics),,Atlantis,,Good,185.4,147.92,Blue,Blond
Aquaman-6,Aquaman,Arthur Curry,High,100,100,90,90,95,DC Comics,Rebirth - DC Rebirth,,,,Good,185.4,147.0,Blue,Blond
Aquaman-7,Aquaman,Arthur Curry,Average,55,25,30,40,50,DC Comics,DCUAOM - DC Universe Animated Original Movies,,,,Good,,,Blue,Blond
Aquaman-8,Aquaman,Arthur Curry,Average,25,25,20,20,55,,Family Guy - Family Guy,,,,,,,,
Aquaman-9,Aquaman,Orin,Good,80,50,70,80,85,DC Comics,Flashpoint - Flashpoint,,,2011,Bad,,,Blue,Blond
Aquaman-10,Aquaman,Arthur Curry,Good,50,25,30,45,80,DC Comics,DCEU - DC Extended Universe,,,,Good,,,Blue,Brown
Aquaman (Trident of Poseidon),Aquaman (Trident of Poseidon),Arthur Curry,Good,100,100,100,100,90,DC Comics,Prime Earth - New 52,,,,Good,185.0,147.0,Blue,Blond
Aquaman (Waterwraith),Aquaman (Waterwraith),Arthur Curry,Good,100,100,100,100,90,DC Comics,New Earth - Post-Crisis,,Earth,,,185.4,147.4,,
Aquarius Camus,Aquarius Camus,,Average,100,100,95,90,80,Shueisha,Saint Seiya - Saint Seiya,,,,Good,184.0,76.0,Green / Blue,Blue
Aquarius Of The Water Pitcher,Aquarius Of The Water Pitcher,Aquarius,Good,25,75,50,75,65,,AWLBA - A Wild Last Boss Appeared,,,,Good,,,,
Aquarus,Aquarus,Lethan,Average,25,25,25,30,70,Image Comics,Invincible - Invincible,,,,Good,,,,
Aquarus-1,Aquarus,,Average,25,25,20,30,70,Amazon,Amazon Invincible - Amazon Invincible,,,,,,,,
Aquawoman,Aquawoman,,High,80,55,75,90,85,DC Comics,DM - Dark Multiverse,,,,Neutral,,,Green,Blond
Aquilamon,Aquilamon,Hawkmon,Average,30,40,40,45,40,Shueisha,Digimon - Digimon,,,,Good,,,Blue,White
Ara Orun,Ara Orun,Mobile Task Force Omega-0,Good,100,100,100,100,55,SCP Foundation,SCP - SCP Foundation,,,,,,,Black,
Araña,Araña,Anya Corazon,Average,25,25,25,40,55,Marvel Comics,Earth-616 - Prime Marvel Universe,Anya Sofia Corazon,"Fort Greene, Brooklyn, New York City, New York, U.S.A.",2004,Good,160.0,52.16,Brown,Brown
Arabella Figg,Arabella Figg,,Average,1,1,5,10,10,J. K. Rowling,Wizarding World - The Wizarding World,,,,Good,,,Brown,Brown
Arachne,Arachne,Julia Carpenter,Average,30,25,40,65,80,Marvel Comics,Earth-616 - Prime Marvel Universe,Julia Eugenia Cornwall Carpenter,"Los Angeles, California",2010,Good,175.3,63.5,Blue,Strawberry Blond
Arachne-1,Arachne,,Good,25,35,30,40,85,,Hero Wars Verse - Hero Wars Verse,Arachne Zenth-ar,,,Neutral,,,Yellow,Brown
Arachne-2,Arachne,,High,25,10,35,50,45,Rick Riordan,PJO - Percy Jackson & the Olympians,,,,Bad,,,Black,Black
Arachne-3,Arachne,,Low,25,25,40,30,50,The CW,VD - Vampire Diaries,,,,,,,,
Arachne Gorgon,Arachne Gorgon,,Good,20,50,35,65,60,Square Enix,Soul Eater - Soul Eater Universe,,,,Bad,,,Black,Black
Aracnido Jr.,Aracnido Jr.,,Good,30,50,40,50,70,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,,,,,
Aradia Megido,Aradia Megido,,Average,100,100,100,100,50,Viz Media,MSPA - MS Paint Adventures,,,,,,,,
Aragog,Aragog,Aragog,Average,50,17,20,5,5,J. K. Rowling,Wizarding World - The Wizarding World,,Hogwarts Shool of Witchcraft & Wizardry,,Neutral,,,,Brown
Aragorn,Aragorn,Aragorn II Elessar,Good,10,17,15,10,70,J. R. R. Tolkien,Eä - Lord of the Rings Universe,,Eriador,,Good,198.1,,Grey,Brown
Araji,Araji,,Good,90,55,60,50,70,,Hero Wars Verse - Hero Wars Verse,,,,Good,,,Orange,No Hair
Arak,Arak,,Good,100,100,100,100,100,Shueisha,DB - Dragon Ball Verse,,,,,,,,
Arakko,Arakko,Arakko,Good,100,20,55,60,10,Marvel Comics,,,,,Neutral,,,Pink,
Aram Mojtabai,Aram Mojtabai,Aram Mojtabai,Good,1,6,10,0,40,Universal Studios,The Blacklist - The Blacklist,,,,Good,,,Brown,Black
Araquel,Araquel,Araquel,High,100,100,100,100,100,DC Comics,Vertigo - Vertigo Universe,Araquel,Heaven,1994,Good,,,Blue / White,Blond
Arata Nishizawa,Arata Nishizawa,,Good,1,1,15,30,50,Shueisha,Cv - Cardfight!! Vanguard,,,,Good,,,Yellow,Red
Arbok,Arbok,Ekans,Average,30,80,50,70,50,Nintendo,Pokemon - Pokemon,,Variable,,Neutral,350.0,65.0,Black,No Hair
Arbormon,Arbormon,Arbormon,Average,50,6,45,50,50,Shueisha,Digimon - Digimon,,,,Bad,,,,
Arc,Arc,,Average,100,50,45,80,50,Square Enix,FF III - Final Fantasy III,,,,Good,,,Brown,Brown
Arc Trooper,Arc Trooper,,High,11,11,20,25,95,,Star Wars - Star Wars Universe,,,,,,,,
Arcade Ahri (Arcadia),Arcade Ahri (Arcadia),Ahri,Good,1,14,25,60,60,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcade Anivia (Arcadia),Arcade Anivia (Arcadia),Anivia,Average,6,25,25,55,40,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcade Gnar (Arcadia),Arcade Gnar (Arcadia),Gnar,Average,80,25,80,80,30,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcade Kai'Sa (Arcadia),Arcade Kai'Sa (Arcadia),Kai'sa,Average,1,17,25,60,55,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcade Riven (Arcadia),Arcade Riven (Arcadia),Riven,Average,75,25,55,80,45,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcade Sona (Arcadia),Arcade Sona (Arcadia),Sona Buvelle,Good,1,17,30,80,40,Riot Games,LoLAU - League of Legends Alternate Universes,,,,Good,,,,
Arcades Sabboth,Arcades Sabboth,Arcades Sabboth,High,80,30,70,80,60,Hasbro,MtG - Magic: the Gathering,,Dominaria,1994,Good,,,,
Arcadia,Arcadia,Arcadia,Good,50,50,65,75,65,Nickelodeon,Winx Club Universe - Winx Club Universe,,,,Good,,,Gold,No Hair
Arcadius,Arcadius,,Good,25,25,75,100,50,The CW,VD - Vampire Diaries,,Before 2200 B.C (Age Unknown/4200+),,Bad,177.8,,Brown,No Hair
Arcana,Arcana,,Good,100,100,100,100,90,Square Enix,MGNF - Maou Gakuin no Futekigousha,,,,Good,,,Gold,White
Arcanine,Arcanine,Growlithe,Good,75,80,55,80,55,Nintendo,Pokemon - Pokemon,,,,Neutral,,,,
Margot Al-Harazi,Margot Al-Harazi,Margot Al-Harazi,Average,1,6,10,0,50,,24 - 24,Margot Al-Harazi,,,Bad,,,Hazel,Brown
Maria Hill,Maria Hill,Maria Hill,Good,1,7,5,5,80,Marvel Comics,MCU - Marvel Cinematic Universe,,,,Good,162.6,69.9,Green,Brown
Maria Hill-1,Maria Hill,,Good,1,11,7,10,75,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,Good,177.8,61.24,Brown,Black
Maria Renard,Maria Renard,,Good,100,100,100,100,80,Konami,Castlevania - Castlevania,,,,Good,,,Hazel,Blond
Maria Renard-1,Maria Renard,,Good,13,17,15,55,70,Konami,C17S - Castlevania (Series 2017-),,,,,,,,
Maria Ushiromiya,Maria Ushiromiya,,High,100,100,100,100,10,07th Expansion,Umineko Verse - Umineko When They Cry,,Japan,,Neutral,,,Purple,Orange
Marian,Marian,Marian Kelly,Average,25,19,15,45,90,SNK,DD - Double Dragon Universe,,,,Good,165.0,,Blue,White
Marie,Marie,Marguerite Breuil,High,100,100,100,100,1,,Masadaverse - Masadaverse,,France (in Omega Ewigkeit),,Good,160.0,50.0,Green,Blond
Marie Moreau,Marie Moreau,,Average,5,8,25,50,35,Dynamite Entertainment,The Boys 2019 - The Boys (TV Series 2019),,,,Good,,,,
Marik Ishtar,Marik Ishtar,,Good,6,14,10,50,80,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Bad,180.0,55.0,Purple,Grey
Mariko Yashida,Mariko Yashida,Mariko Yashida,Average,5,6,5,0,80,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,Good,152.4,45.36,Brown,Black
Marin,Marin,,Good,25,50,55,55,75,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Bad,160.0,,Hazel,Blue
Marine,Marine,,High,75,50,100,100,100,,IUND - Ichiban Ushiro no Daimaou,,,,,,,,
Mario,Mario,,Average,14,7,25,40,50,Nintendo,SMB 2023 - Super Mario Bros. (2023 Movie),,"Brooklyn, New York City",2023,Good,154.9,,Blue,Brown
Marion Wheeler,Marion Wheeler,,High,100,100,100,100,100,SCP Foundation,SCP - SCP Foundation,,,,Good,,,,
Marionette,Marionette,Erika Manson,Good,6,7,8,10,70,DC Comics,Watchmen - Watchmen Universe,,,2018,Bad,,,Green,Blond
Maris Brood,Maris Brood,,Average,45,25,50,80,95,George Lucas,SWL - Star Wars: Legends Multiverse,,,,,,,,
Marisa,Marisa,Marisa Kirisame,Good,100,100,100,100,80,,Touhou - Touhou Universe,Marisa Kirisame,,,Good,155.0,,Yellow,Yellow
Mark Grayson (Viltrumite Mark),Mark Grayson (Viltrumite Mark),Mark Grayson,Average,100,85,55,80,90,Amazon,Amazon Invincible - Amazon Invincible,,,,Bad,,,,
Mark Grayson (Viltrumite Mark)-1,Mark Grayson (Viltrumite Mark),Mark Grayson,Good,100,100,55,85,90,Image Comics,Invincible - Invincible,,,,Bad,,,Grey,Black
Mark Grayson (Viltrumite Prison),Mark Grayson (Viltrumite Prison),Mark Grayson,Good,100,100,55,85,90,Image Comics,Invincible - Invincible,,,,Bad,,,No eyes,
Mark Zuckerberg,Mark Zuckerberg,Mark Zuckerberg,Low,0,0,0,0,0,Real World,Pop - Popular Real World People,Mark Elliot Zuckerberg,,,Good,170.0,70.0,Grey,Brown
Marko Dragic,Marko Dragic,,High,1,1,5,10,25,Rockstar Games,RDR - Red Dead Redemption,,,,,,,,
Markov,Markov,Aleksey Markov,Average,10,17,10,20,65,2K,Evolve-Verse - Evolve (2015),,,,Good,,,,
Markus,Markus,,Good,25,25,40,40,85,,Hero Wars Verse - Hero Wars Verse,,,,Good,,,,Brown
Markus-1,Markus,Markus RK200,High,25,25,14,40,85,Sony Pictures,,,CyberLife,,Good,185.4,,Green,Brown
Markus Kruber,Markus Kruber,,Good,25,25,25,60,95,Games Workshop,WF - Warhammer: Age of Sigmar,,,,,,,,
Marneus Calgar,Marneus Calgar,Marneus Augustus Calgar,High,100,95,95,100,95,Games Workshop,Warhammer 40K - W40K,,,,,,,,
Marquis Of Death,Marquis Of Death,Clyde Wyncham,High,100,100,100,100,100,Marvel Comics,Earth-807128 - Marvel's Earth-807128,Clyde Wyncham Jr.,,,Bad,,,,
Marrow,Marrow,Sarah,Low,0,0,0,0,0,Marvel Comics,Earth-616 - Prime Marvel Universe,Sarah,Morlock Tunnels,,Good,182.9,72.6,brown,black
Mars,Mars,Mars,Good,25,50,25,15,75,,AWLBA - A Wild Last Boss Appeared,,,,Bad,,,,
Marshadow,Marshadow,,Good,30,80,50,100,100,Nintendo,Pokemon - Pokemon,,,,Bad,70.0,22.0,Yellow / Red,No Hair
Marshall Flinkman,Marshall Flinkman,Marshall Flinkman,Good,1,1,5,5,25,ABC Studios,Alias - Alias,Marshall J. Flinkman,"Los Angeles, CA, USA",,Good,172.7,65.77,Blue,Brown
Marshall Law,Marshall Law,Marshall Law,Good,20,25,20,30,100,Namco,Tekken - Tekken,,,,Good,179.0,69.0,Brown,Black
Martha,Martha,,Good,25,35,30,40,55,,Hero Wars Verse - Hero Wars Verse,,,,Good,,,Black,Grey
Martha Hanson,Martha Hanson,Martha Hanson,Average,1,6,5,0,5,Dreamworks,The Americans - The Americans,Martha Ann Hanson,United States of America,,,,,Brown,Brown
Martian Man,Martian Man,,Average,35,30,25,25,70,Image Comics,Invincible - Invincible,,,,Good,,,,No Hair
Martian Man-1,Martian Man,,Good,35,25,30,25,75,Amazon,Amazon Invincible - Amazon Invincible,,,,Good,,,Yellow,No Hair
Martian Manhunter,Martian Manhunter,J'onn J'onzz,Average,100,25,30,60,20,DC Comics,DCAU - DC Animated Universe,,,,,,,,
Martian Manhunter-1,Martian Manhunter,J'onn J'onzz,Average,100,100,50,60,20,DC Comics,Smallville - Smallville (2001-2011 TV Series),,,,Good,,,Red,
Martian Manhunter-2,Martian Manhunter,J'onn J'onzz,High,100,100,100,100,85,DC Comics,New Earth - Post-Crisis,J'onn J'onzz,Mars,,Good,200.7,136.1,Red,No Hair
Martian Manhunter-3,Martian Manhunter,J'onn J'onzz,Low,0,0,0,0,0,DC Comics,DCEU - DC Extended Universe,J'onn J'onzz,,,Good,,,Red,No Hair
Martian Manhunter-4,Martian Manhunter,J'onn J'onzz,High,100,100,85,90,80,DC Comics,Prime Earth - New 52,J'onn J'onzz,Mars,2011,Good,200.7,136.1,Red,No Hair
Martian Manhunter-5,Martian Manhunter,J'onn J'onzz,Average,95,80,35,70,60,DC Comics,DCUAOM - DC Universe Animated Original Movies,,,,Good,,,Red,No Hair
Martian Manhunter-6,Martian Manhunter,J'onn J'onzz,Good,30,50,45,70,40,DC Comics,Lego Earth-1 - Lego DC Universe,,Mars,,Good,,,Red,No Hair
Martian Manhunter-7,Martian Manhunter,J'onn J'onnz,Average,50,25,45,75,40,,LEGO - LEGO Cinematic Universe,,,,,,,,
Martian Manhunter-8,Martian Manhunter,J'onn J'onzz,High,100,50,35,90,80,DC Comics,Injustice - Injustice (2013-2017 Games and Comics),,,,,,,,
Martian Manhunter-9,Martian Manhunter,J'onn J'onnz,Good,30,20,35,70,50,DC Comics,Young Justice - Young Justice (2010- TV Series),,,,Good,,,Red,No Hair
Martian Manhunter-10,Martian Manhunter,J'onn J'onzz,Average,100,55,55,80,80,DC Comics,Arrowverse - DC Television Universe,,Mars,,Good,,,Red,No Hair
Martian Manhunter-11,Martian Manhunter,J'onn J'onzz,High,100,100,100,100,80,DC Comics,Rebirth - DC Rebirth,,Mars,,Good,200.7,136.0,Red,No Hair
Martian Manhunter-12,Martian Manhunter,J'onn J'onzz,High,100,100,100,100,90,DC Comics,Pre-Crisis - Pre Crisis on Infinite Earths,,Mars,,Good,200.7,136.08,Red,No Hair
Martian Manhunter (Collective Unconscious),Martian Manhunter (Collective Unconscious),J'onn J'onzz,High,100,100,100,100,100,DC Comics,New Earth - Post-Crisis,,,,,,,,
Martian-Mite,Martian-Mite,,High,100,100,100,100,50,DC Comics,Rebirth - DC Rebirth,,,,Good,,,,
